Temperature Log
Date, Temperature, Humidity
Feb 4, 2025 at 1:00 AM : 26°C, 22
Feb 4, 2025 at 2:00 AM : 25.5°C, 22
Feb 4, 2025 at 3:00 AM : 25.6°C, 23
Feb 4, 2025 at 4:00 AM : 25.6°C, 23
Feb 4, 2025 at 5:00 AM : 23.8°C, 24
Feb 4, 2025 at 6:00 AM : 21.4°C, 25
Feb 4, 2025 at 7:00 AM : 19.7°C, 25
Feb 4, 2025 at 8:00 AM : 20.1°C, 25
Feb 4, 2025 at 9:00 AM : 20.1°C, 23
Feb 4, 2025 at 10:00 AM : 20.6°C, 23
Feb 4, 2025 at 11:00 AM : 21°C, 23
Feb 4, 2025 at 12:00 PM : 22.1°C, 19
Feb 4, 2025 at 1:00 PM : 21.1°C, 18
Feb 4, 2025 at 2:00 PM : 20.6°C, 18
Feb 4, 2025 at 3:00 PM : 20.2°C, 17
Feb 4, 2025 at 4:00 PM : 20.7°C, 14
Feb 4, 2025 at 4:30 PM : 21°C, 14
Feb 4, 2025 at 5:00 PM : 20.5°C, 14
Feb 4, 2025 at 5:30 PM : 21.5°C, 14
Feb 4, 2025 at 6:00 PM : 22.6°C, 16
Feb 4, 2025 at 6:30 PM : 22.7°C, 17
Feb 4, 2025 at 7:00 PM : 21.6°C, 18
Feb 4, 2025 at 7:30 PM : 20.9°C, 18
Feb 4, 2025 at 8:00 PM : 20.6°C, 19
Feb 4, 2025 at 8:30 PM : 21.8°C, 17
Feb 4, 2025 at 9:00 PM : 22.5°C, 17
Feb 4, 2025 at 9:30 PM : 23.5°C, 17
Feb 4, 2025 at 10:00 PM : 23.8°C, 16
Feb 4, 2025 at 10:30 PM : 23.8°C, 16
Feb 4, 2025 at 11:00 PM : 24.4°C, 16
Feb 4, 2025 at 11:30 PM : 25.1°C, 15
Feb 5, 2025 at 12:00 AM : 25.3°C, 15
Feb 5, 2025 at 12:30 AM : 25.6°C, 14
Feb 5, 2025 at 1:00 AM : 25.6°C, 14
Feb 5, 2025 at 1:30 AM : 25.7°C, 14
Feb 5, 2025 at 2:00 AM : 25.6°C, 14
Feb 5, 2025 at 2:30 AM : 25.8°C, 14
Feb 5, 2025 at 3:00 AM : 25.7°C, 14
Feb 5, 2025 at 3:30 AM : 25.6°C, 13
Feb 5, 2025 at 4:00 AM : 25.5°C, 13
Feb 5, 2025 at 4:30 AM : 25.5°C, 13
Feb 5, 2025 at 5:00 AM : 25.4°C, 13
Feb 5, 2025 at 5:30 AM : 25.3°C, 13
Feb 5, 2025 at 6:00 AM : 25.2°C, 13
Feb 5, 2025 at 6:30 AM : 25.2°C, 13
Feb 5, 2025 at 7:00 AM : 25.1°C, 12
Feb 5, 2025 at 7:30 AM : 25°C, 13
Feb 5, 2025 at 8:00 AM : 24.9°C, 13
Feb 5, 2025 at 8:30 AM : 24.8°C, 12
Feb 5, 2025 at 9:00 AM : 24.6°C, 12
Feb 5, 2025 at 9:30 AM : 24.5°C, 12
Feb 5, 2025 at 10:00 AM : 24.4°C, 12
Feb 5, 2025 at 10:30 AM : 24.3°C, 12
Feb 5, 2025 at 11:00 AM : 24.4°C, 12
Feb 5, 2025 at 11:30 AM : 24.4°C, 12
Feb 5, 2025 at 12:00 PM : 24.5°C, 12
Feb 5, 2025 at 12:30 PM : 24.6°C, 12
Feb 5, 2025 at 1:00 PM : 24.9°C, 11
Feb 5, 2025 at 1:30 PM : 25.3°C, 10
Feb 5, 2025 at 2:00 PM : 25.8°C, 10
Feb 5, 2025 at 2:30 PM : 25.8°C, 10
Feb 5, 2025 at 3:00 PM : 25.6°C, 10
